modelName;type;maxPerturbation;size;clum_size;nlum_size;et_rel;et;|M*xt|_2;epsilon;max_deviation;norm_x0;compactum_bound;norm_fx0;max_allowed_slope;avg_per_err;avg_err;max_err;max_epsilon;consideredEpsilons;tolerance;t0;t1;secThisEpsilon;secTotal
BIOMD103_C9_[e=0.001];paper/polynomial;0.0;17;17;15;0.01658344797257928;0.022528274559913353;1.3584795271263155;0.0011620729769788829;;0.0;0.0;0.20591260281974003;;1.2384859970994542;0.018931702590496858;0.04144456930521079;0.10000999950004999;18;1e-06;0.0;5000.0;2.43471622467041;4.397632122039795
BIOMD437_frq_mRNA_[e=333.333];paper/rational;0.0;39;21;5;0.00014176045433082654;1.7930828163148504e-05;0.12648681360249672;333.33333299702247;;6.59694216700451;6.59694216700451;27.377731072619955;;0.006789201458700573;9.585738566524039e-06;1.9247310502318316e-05;711111.1111111111;41;1e-06;0.0;40.0;5.093646764755249;5.295733213424683
BIOMD437_frq_mRNA_[e=106.667];paper/rational;0.0;39;21;11;0.00026994063062848924;3.414393023004614e-05;0.12648681360249672;106.66666655904716;;6.59694216700451;6.59694216700451;27.377731072619955;;0.010600967875064262;1.4920567632827223e-05;3.764725576826944e-05;711111.1111111111;41;1e-06;0.0;40.0;5.550153493881226;5.773979425430298
BIOMD437_frq_mRNA_[e=0.000];paper/rational;0.0;39;21;21;0.0;0.0;0.12648681360249672;0.0;;6.59694216700451;6.59694216700451;27.377731072619955;;0.0;0.0;0.0;711111.1111111111;41;1e-06;0.0;40.0;7.706873893737793;7.706877708435059
BIOMD437_frq_mRNA_[e=0.000];paper/rational;0.0;39;21;21;0.0;0.0;0.12648681360249672;0.0;;6.59694216700451;6.59694216700451;27.377731072619955;;0.0;0.0;0.0;711111.1111111111;41;1e-06;0.0;40.0;1.448195457458496;1.4481992721557617
BIOMD437_frq_mRNA_[e=0.000];paper/rational;0.0;39;21;21;0.0;0.0;0.12648681360249672;0.0;;6.59694216700451;6.59694216700451;27.377731072619955;;0.0;0.0;0.0;711111.1111111111;1;1e-06;0.0;40.0;0.07457208633422852;0.07457613945007324
BIOMD437_frq_mRNA_[e=0.000];paper/rational;0.0;39;21;21;0.0;0.0;0.12648681360249672;0.0;;6.59694216700451;6.59694216700451;27.377731072619955;;0.0;0.0;0.0;711111.1111111111;1;1e-06;0.0;40.0;0.07823991775512695;0.07824301719665527
BIOMD437_frq_mRNA_[e=0.000];paper/rational;0.0;39;21;21;0.0;0.0;0.12648681360249672;0.0;;6.59694216700451;6.59694216700451;27.377731072619955;;0.0;0.0;0.0;711111.1111111111;1;1e-06;0.0;40.0;0.08275365829467773;0.08275723457336426
BIOMD448_S6p_[e=1.000];paper/rational;0.0;27;23;19;0.000559856209259911;0.05467680938474473;97.66223626781505;0.9999990463256836;;285.97887054252095;285.97887054252095;121558889085.96109;;0.06446750820335928;0.0629569823485195;0.15776478756390588;1.0;21;1e-06;0.0;5.0;0.4841020107269287;1.3800666332244873
BIOMD448_S6p_[e=1.000];paper/rational;0.0;27;23;19;0.000559856209259911;0.05467680938474473;97.66223626781505;0.9999990463256836;;285.97887054252095;285.97887054252095;121558889085.96109;;0.06446750820335928;0.0629569823485195;0.15776478756390588;1.0;21;1e-06;0.0;5.0;0.032428741455078125;0.6763787269592285
BIOMD448_S6p_[e=1.000];paper/rational;0.0;27;23;19;0.000559856209259911;0.05467680938474473;97.66223626781505;0.9999990463256836;;285.97887054252095;285.97887054252095;121558889085.96109;;0.06446750820335928;0.0629569823485195;0.15776478756390588;1.0;21;1e-06;0.0;5.0;0.039168596267700195;0.7018833160400391
BIOMD448_S6p_[e=1.000];paper/rational;0.0;27;23;19;0.000559856209259911;0.05467680938474473;97.66223626781505;0.9999990463256836;;285.97887054252095;285.97887054252095;121558889085.96109;;0.06446750820335928;0.0629569823485195;0.15776478756390588;1.0;21;1e-06;0.0;5.0;0.03251791000366211;0.7304468154907227
BIOMD448_S6p_[e=1.000];paper/rational;0.0;27;23;19;0.000559856209259911;0.05467680938474473;97.66223626781505;0.9999990463256836;;285.97887054252095;285.97887054252095;121558889085.96109;;0.06446750820335928;0.0629569823485195;0.15776478756390588;1.0;21;1e-06;0.0;5.0;0.03250908851623535;0.6918599605560303
BIOMD448_S6p_[e=0.016];paper/rational;0.0;27;23;23;2.6437733788984402e-08;2.581968203685392e-06;97.66223626781505;0.015951156616210938;;285.97887054252095;285.97887054252095;121558889085.96109;;2.3719767474593603e-06;2.3164843433570145e-06;5.525964581920562e-06;1.0;21;1e-06;0.0;5.0;0.46860742568969727;1.2677597999572754
BIOMD448_S6p_[e=0.000];paper/rational;0.0;27;23;23;0.0;0.0;97.66223626781505;0.0;;285.97887054252095;285.97887054252095;121558889085.96109;;0.0;0.0;0.0;1.0;1;1e-06;0.0;5.0;0.003576517105102539;0.0035791397094726562
